surface,adsorption site,ads initial x,ads initial y,ads initial z,ads final x,ads final y,ads final z,adsorption energy
LiMg_mp-1094673_111,hollow_1,4.120215301885538,3.617369255300912,17.102913190400002,4.1788943526,3.6154615181,16.1518705263,-0.4700408336360811
LiMg_mp-1094673_111,ontop_0,1.736204295852344,2.19051914331219,17.102913190400002,1.7951052218,2.083731934,16.0294426735,-0.4689369460511139
Li2Al_mp-1210753_100,bridge_1,8.33149998692859e-07,4.8332390191500005,23.5409919397,-1.09e-06,4.8332346846,23.6125009925,-0.161174420183794
Li2Al_mp-1210753_100,bridge_5,1.1077246460000014,2.2362698539500037,23.5409919397,1.1077211317,-0.3884198901,23.3862734146,-0.7723887643806807
Li2Al_mp-1210753_100,hollow_0,0.3692422720000005,5.731052157666668,23.5409919397,0.390694698,5.7153591898,23.5932395929,-0.1698670638173263
Li2Al_mp-1210753_100,hollow_1,0.3692418187666682,2.2041136275333395,23.5409919397,1.099217439,-0.4157720904,23.3922293136,-0.7734656405694024
Li2Al_mp-1210753_100,ontop_0,1.1077242702000007,0.6992597198999999,23.5409919397,1.1077240606,-0.440720907,23.3810032745,-0.7737237447801755
Li2Al_mp-1210753_100,ontop_2,3.3231732243,2.1398011747,23.5409919397,3.3231733408,0.6473211579,23.3526548446,-0.7709857377938255
Li2Al_mp-1210753_110,bridge_0,3.3231733530999965,2.441485956576123,19.435390640999998,3.3203820584,2.9529873464,18.052883549,-2.2615519222635574
Li2Al_mp-1210753_110,bridge_3,1.107726634199999,0.42077137567612244,19.435390640999998,1.1077181431,0.8041889034,18.8946040062,-1.579566964879928
Li2Al_mp-1210753_110,hollow_0,3.3231739567999914,3.549416845776188,19.435390640999998,3.322442469,3.0272158091,18.0526146249,-2.261006990848709
Li2Al_mp-1210753_110,hollow_1,1.1077260304999985,4.657347734976253,19.435390640999998,1.1077244361,4.7205006148,18.511599892,-1.0628401853379092
Li2Al_mp-1210753_110,ontop_0,1.1077248230999999,2.4414859565761233,19.435390640999998,1.1078861153,2.2446104177,18.9184812918,-1.8032867008869264
Li2Al_mp-1210753_110,ontop_1,3.3231751642,0.42077137567612344,19.435390640999998,3.3231496782,-1.5626798197,17.7779983666,-2.481690669323946
